 Structure Age Ascl1 Bdnf Creb1 Cux2 Fez1 Hes1 Mef2c Myt1l Neurod1 Neurog1 Neurog2 Nog Olig2 Otx1 Otx2 Pax3 Pax5 Pax6 Pou3f2 Pou4f2 Prox13 Satb2 Sox10 Sox11 Sox12 Sox2 Sox3 Sox4 Sox5 Sox6 Sox7 Sox8 Sox9 Stat3
0 0 5.55895 0.0113216 0.224517 0.856729 3.68449 1.69683 0.316953 0.0175213 0.352269 0.429001 2.44939 0.053855 0.444139 0.0336372 2.68661 0.125528 0.0237784 4.65841 6.73525 0.0764644 -1 1.17037 0.656181 6.69815 2.79904 8.60595 7.84341 4.93811 1.03775 0.051157 0.0952716 0.0130393 0.505097 0.318129
0 1 4.04562 0.0141381 0.193721 0.37413 6.45682 1.76622 0.154954 1.93432 0.490456 0.220225 3.51952 0.0165351 0.338459 0.0778154 0.929781 0.0699076 0.0265462 1.87559 5.57609 0.00273646 -1 0.314682 0.0514955 0.794008 0.532533 10.0671 1.42507 3.14375 0.963344 0.262098 0.40756 0.0579375 0.432285 0.0512863
0 2 1.12855 0.0344268 0.098197 0.307409 6.97118 0.262341 0.094871 4.28597 0.0686388 0.0121863 0.336316 0.024251 0.273194 0.0522904 0.218988 0.0113581 0.0285035 0.594718 7.74257 0.00671019 -1 0.293651 0.0466425 0.293208 2.23916 4.33746 0.455683 3.39864 0.497456 0.133377 0.00664552 0.0763365 0.150881 0.100641
0 3 0.431499 0.349358 0.0458935 1.26586 5.73296 1.20172 0.24035 3.97508 0.0825652 0.189015 0.38454 0.0635178 2.39523 0.0295745 0.741474 0.0297189 0.383831 0.798121 7.02461 0.172685 -1 0.843726 0.617335 0.98056 1.20453 4.19508 0.0108821 0.0534611 0.0637447 0.287918 0.162332 0.467206 0.671089 0.138082
0 4 0.0777631 0.150218 0.0711214 2.97738 17.3962 0.209543 0.256283 4.39412 0.151802 0.479393 2.92416 0.208734 3.17381 0.0877545 0.38701 0.375525 0.369402 1.54699 13.5923 0.0425392 -1 2.08117 0.150403 0.0698952 4.36079 1.50083 0.236702 2.84811 4.90107 0.0875282 0.0407455 0.395921 0.232486 0.832414
0 5 1.30237 2.90487 0.309031 2.16633 11.7332 0.108574 0.310082 7.40015 0.0140256 0.451891 1.21204 3.22938 3.06589 0.689533 0.683082 0.00397013 0.00568767 0.965768 11.5765 0.344289 -1 1.01648 4.24196 0.04237 1.44285 3.36825 -1 1.25725 1.44049 2.16465 2.26586 7.15847 0.136924 1.49504
0 6 1.19592 0.892541 0.0845078 1.35606 11.394 0.0365831 2.08127 6.08698 0.0614455 0.285799 0.102582 0.257813 1.10795 0.0971109 0.517261 0.0248592 0.184601 0.135489 7.56548 0.17735 -1 0.114477 5.37676 0.117173 3.05676 5.81416 0.498323 0.483934 1.37672 0.144887 0.153625 3.67843 0.0488103 1.79275
0 7 7.38249 2.06002 -1 8.82542 -1 5.34713 23.8748 -1 1.0242 -1 -1 1.46858 10.972 -1 0.678783 0.37335 -1 0.0885091 -1 -1 -1 7.49983 2.9094 0.119386 -1 1.96668 -1 -1 1.08175 -1 -1 6.57251 0.0959634 2.46964
1 0 10.7396 0.0286244 0.296702 1.83251 4.8002 1.27974 0.208307 0.0862222 0.747005 1.00124 9.45068 0.413721 1.7999 0.126873 3.76259 0.0903411 0.0462646 8.43793 21.5708 0.0238818 -1 0.134217 0.414669 7.97456 5.13058 13.7095 11.0606 8.62726 2.06059 0.420169 0.150788 0.039896 0.712648 0.326359
1 1 4.39756 0.028382 0.403212 1.4794 16.888 3.29799 0.834664 2.999 1.46751 1.07012 5.4002 0.0508946 0.192592 0.165155 1.23659 0.0429179 0.246594 5.99735 8.5365 0.0367066 -1 1.96253 0.0450265 3.58202 0.532034 11.2904 2.57616 5.02872 4.40269 0.492558 0.221317 0.475562 0.35383 0.0538911
1 2 0.651247 0.0377685 0.108393 1.01115 9.44511 0.160927 1.67328 7.42652 2.02932 0.0439633 6.29059 0.0110472 0.284701 0.0458032 0.943529 0.0424445 0.0304867 4.01235 9.97537 0.0171976 -1 6.06155 0.0423141 2.40786 2.82064 2.01767 0.642174 6.03318 7.5606 0.320979 0.0146791 0.416406 0.0785896 0.125687
1 3 0.769566 0.111315 0.0267645 5.16231 10.78 0.816488 6.95785 6.14931 1.04387 0.134549 1.74402 0.0364965 2.01138 0.0497324 0.796792 0.0441153 0.164995 2.01833 8.46127 0.130488 -1 8.63577 0.563331 6.18451 2.35617 3.14709 0.0417334 0.467488 1.30899 0.169527 0.0986838 1.14885 0.661778 0.105233
1 4 0.255982 0.0514281 0.0807336 6.9239 16.9696 0.187636 11.4926 6.72887 0.753308 0.521128 2.63143 0.103069 3.7115 0.152686 0.293299 0.150255 0.168995 1.66218 15.1574 0.0367023 -1 10.3974 0.184093 1.29344 7.05336 1.15095 0.537704 5.07265 8.10533 0.0305132 0.0339662 0.826201 0.117453 0.37982
1 5 1.39224 2.79643 0.625974 5.25578 15.9914 0.25986 10.7104 11.7723 0.865447 0.438476 1.08807 5.93692 3.37499 1.01839 0.777818 0.00871356 0.0210408 1.05681 14.6677 0.192897 -1 6.69112 7.56897 1.15427 2.31876 3.16069 -1 2.93694 3.02203 2.68587 2.36526 7.04216 0.0708282 1.28161
1 6 1.26152 1.27488 0.246412 4.67139 15.4987 0.236473 11.2164 12.9954 0.549284 0.263121 0.472157 0.807638 1.24595 0.128947 0.590483 0.0821415 0.08793 0.523879 12.1802 0.0931985 -1 3.4973 6.77162 0.110551 4.75671 4.00542 1.74473 0.85386 3.50073 0.586384 0.14128 4.87059 0.0387881 1.18064
1 7 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
2 0 8.09905 0.00122758 0.142281 1.13808 6.41923 1.16258 0.0957654 0.00979907 0.690866 0.490782 16.0511 0.0674483 6.06669 0.073855 14.6203 0.00238897 0.0136367 7.87733 11.481 0.0102044 -1 0.0694977 0.0630519 8.46392 2.95985 15.6127 2.55495 7.36075 0.745791 0.0402407 0.0347829 0.00437517 0.464677 0.177267
2 1 2.88998 0.0060968 0.130055 0.566696 5.71528 0.339786 0.0940463 2.78114 0.515596 0.125342 2.2039 0.0623348 0.376258 0.0516567 4.27976 0.00637241 0.0261029 11.084 6.24145 0.00462609 -1 0.419209 0.0187723 0.856328 0.649748 5.7331 0.611663 4.00816 0.551603 0.25951 0.161143 0.170023 0.165566 0.0241931
2 2 0.238379 0.0470537 0.090183 0.392833 7.8906 0.104162 0.0868484 5.03234 0.0982271 0.0148416 0.597137 0.024683 1.13605 0.0816657 0.394815 0.00769761 0.0192924 3.03706 11.2917 0.0036789 -1 0.12577 0.0187107 0.256173 2.82373 2.53716 0.295324 3.81647 0.385258 0.182962 0.0086937 0.0692371 0.0395528 0.0292997
2 3 0.292228 0.316542 0.0101219 2.28631 6.70819 0.824805 0.0770967 5.86913 0.456156 0.0833203 0.426657 0.046929 2.85694 0.03579 1.05463 0.019358 0.177006 2.95125 9.20163 0.0593399 -1 0.47717 0.634303 1.001 1.81468 3.11558 0.00651953 0.0296976 0.0742752 0.088465 0.0814984 0.387944 0.430362 0.310784
2 4 0.0756685 0.106671 0.0336253 4.04033 17.2568 0.178248 0.215429 5.94034 0.188641 0.312281 3.52777 0.138378 4.25182 0.0348405 0.215568 0.164734 0.224393 2.86254 15.4577 0.0244172 -1 1.24888 0.205965 0.125999 6.61224 1.7962 0.263176 2.50312 5.34576 0.0395685 0.014638 0.433112 0.0859665 0.697119
