Structure Depth Age Ascl1 Bdnf Creb1 Cux2 Fez1 Hes1 Mef2c Myt1l Neurod1 Neurog1 Neurog2 Nog Olig2 Otx1 Otx2 Pax3 Pax5 Pax6 Pou3f2 Pou4f2 Prox13 Satb2 Sox10 Sox11 Sox12 Sox2 Sox3 Sox4 Sox5 Sox6 Sox7 Sox8 Sox9 Stat3
0 4 0 5.55895 0.0113216 0.224517 0.856729 3.68449 1.69683 0.316953 0.0175213 0.352269 0.429001 2.44939 0.053855 0.444139 0.0336372 2.68661 0.125528 0.0237784 4.65841 6.73525 0.0764644 -1 1.17037 0.656181 6.69815 2.79904 8.60595 7.84341 4.93811 1.03775 0.051157 0.0952716 0.0130393 0.505097 0.318129
0 4 1 4.04562 0.0141381 0.193721 0.37413 6.45682 1.76622 0.154954 1.93432 0.490456 0.220225 3.51952 0.0165351 0.338459 0.0778154 0.929781 0.0699076 0.0265462 1.87559 5.57609 0.00273646 -1 0.314682 0.0514955 0.794008 0.532533 10.0671 1.42507 3.14375 0.963344 0.262098 0.40756 0.0579375 0.432285 0.0512863
0 4 2 1.12855 0.0344268 0.098197 0.307409 6.97118 0.262341 0.094871 4.28597 0.0686388 0.0121863 0.336316 0.024251 0.273194 0.0522904 0.218988 0.0113581 0.0285035 0.594718 7.74257 0.00671019 -1 0.293651 0.0466425 0.293208 2.23916 4.33746 0.455683 3.39864 0.497456 0.133377 0.00664552 0.0763365 0.150881 0.100641
0 4 3 0.431499 0.349358 0.0458935 1.26586 5.73296 1.20172 0.24035 3.97508 0.0825652 0.189015 0.38454 0.0635178 2.39523 0.0295745 0.741474 0.0297189 0.383831 0.798121 7.02461 0.172685 -1 0.843726 0.617335 0.98056 1.20453 4.19508 0.0108821 0.0534611 0.0637447 0.287918 0.162332 0.467206 0.671089 0.138082
0 4 4 0.0777631 0.150218 0.0711214 2.97738 17.3962 0.209543 0.256283 4.39412 0.151802 0.479393 2.92416 0.208734 3.17381 0.0877545 0.38701 0.375525 0.369402 1.54699 13.5923 0.0425392 -1 2.08117 0.150403 0.0698952 4.36079 1.50083 0.236702 2.84811 4.90107 0.0875282 0.0407455 0.395921 0.232486 0.832414
0 4 5 1.30237 2.90487 0.309031 2.16633 11.7332 0.108574 0.310082 7.40015 0.0140256 0.451891 1.21204 3.22938 3.06589 0.689533 0.683082 0.00397013 0.00568767 0.965768 11.5765 0.344289 -1 1.01648 4.24196 0.04237 1.44285 3.36825 -1 1.25725 1.44049 2.16465 2.26586 7.15847 0.136924 1.49504
0 4 6 1.19592 0.892541 0.0845078 1.35606 11.394 0.0365831 2.08127 6.08698 0.0614455 0.285799 0.102582 0.257813 1.10795 0.0971109 0.517261 0.0248592 0.184601 0.135489 7.56548 0.17735 -1 0.114477 5.37676 0.117173 3.05676 5.81416 0.498323 0.483934 1.37672 0.144887 0.153625 3.67843 0.0488103 1.79275
0 4 7 7.38249 2.06002 -1 8.82542 -1 5.34713 23.8748 -1 1.0242 -1 -1 1.46858 10.972 -1 0.678783 0.37335 -1 0.0885091 -1 -1 -1 7.49983 2.9094 0.119386 -1 1.96668 -1 -1 1.08175 -1 -1 6.57251 0.0959634 2.46964
1 4 0 10.506 0.0259809 0.282278 1.75456 4.97861 1.26844 0.196404 0.0801871 0.697317 0.925568 10.2783 0.372541 2.20526 0.123027 4.37709 0.0815234 0.0432185 8.10627 20.0378 0.0224575 -1 0.123265 0.372437 8.02898 4.90764 13.8734 9.84549 8.51134 1.90435 0.382134 0.139914 0.0366529 0.68834 0.310478
1 4 1 4.28936 0.0267892 0.383853 1.41268 16.0932 3.09794 0.784268 2.98344 1.39396 1.00478 5.17915 0.0516804 0.206215 0.156726 1.46048 0.0398904 0.230216 6.34915 8.38928 0.0346942 -1 1.85702 0.0434959 3.39062 0.540496 10.9061 2.39132 4.95713 4.15553 0.480194 0.21696 0.454878 0.339427 0.0517718
